Trading_Date,Time,DJIA,S&P 500,NASDAQ Composite,,,,,,,,,,,,,,,,,,NASDAQ_Composite_24h_Change_pct
26/12/2024,12:30:00,43342.03906,6041.75,20043.28516,,,,,,,,,,,,,,,,,,3.4611
26/12/2024,13:30:00,43286.60938,6034.649902,20018.78125,,,,,,,,,,,,,,,,,,2.9364
26/12/2024,14:30:00,43320.82031,6043.509766,20057.78711,,,,,,,,,,,,,,,,,,2.1629
26/12/2024,15:30:00,43323.64063,6037.089844,20017.20117,,,,,,,,,,,,,,,,,,1.3117
26/12/2024,16:00:00,43325.80078,6037.589844,20020.35938,,,,,,,,,,,,,,,,,,1.9779
27/12/2024,9:30:00,42938.21094,5957.310059,19617.61133,,,,,,,,,,,,,,,,,,-0.338
27/12/2024,10:30:00,42993.82031,5968.97998,19688.86914,,,,,,,,,,,,,,,,,,0.3427
27/12/2024,11:30:00,42805.42188,5939.640137,19580.31836,,,,,,,,,,,,,,,,,,0.0035
27/12/2024,12:30:00,42866.64844,5949.629883,19631.42578,,,,,,,,,,,,,,,,,,0.3006
27/12/2024,13:30:00,42979.67969,5963.649902,19671.27539,,,,,,,,,,,,,,,,,,0.5354
27/12/2024,14:30:00,42932.85156,5960.850098,19683.33984,,,,,,,,,,,,,,,,,,0.1758
27/12/2024,15:30:00,43002.46875,5972.25,19724.6582,,,,,,,,,,,,,,,,,,0.1884
27/12/2024,16:00:00,42992.21094,5970.839844,19722.0293,,,,,,,,,,,,,,,,,,0.0227
30/12/2024,9:30:00,42302.62891,5872.470215,19366.95898,,,,,,,,,,,,,,,,,,-1.9659
30/12/2024,10:30:00,42536.30078,5904.100098,19470.05469,,,,,,,,,,,,,,,,,,-1.233
30/12/2024,11:30:00,42678.64844,5928.319824,19572.17773,,,,,,,,,,,,,,,,,,-0.9453
30/12/2024,12:30:00,42703.73828,5929.77002,19585.24805,,,,,,,,,,,,,,,,,,-0.9088
30/12/2024,13:30:00,42702.89063,5927.22998,19575.58203,,,,,,,,,,,,,,,,,,-1.759
30/12/2024,14:30:00,42671.51172,5920.220215,19544.0918,,,,,,,,,,,,,,,,,,-2.1273
30/12/2024,15:30:00,42583.89844,5907.430176,19483.58984,,,,,,,,,,,,,,,,,,-2.4971
30/12/2024,16:00:00,42573.73047,5906.939941,19486.78906,,,,,,,,,,,,,,,,,,-2.7175
